"id","condition","rcheck.symbolic1","rcheck.symbolic2","mcheck1","mcheck2","Q23_1","Q23_2","Q23_3","Q23_4","Q23_5","Q23_6","Q23_7","Q23_8","Q23_9","Q23_10","Q23_11","Q23_12","Q23_13","phs.anger1","phs.contempt1","phs.disgust1","phs.anger4","phs.anger2","phs.contempt2","phs.disgust2","phs.contempt4","phs.attcheck","phs.anger3","phs.contempt3","phs.disgust3","phs.disgust4","ths.int1","ths.pss1","ths.com1","ths.int2","ths.pss2","ths.com2","ths.int3","ths.pss3","ths.com3","ths.int4","ths.pss4","ths.com4","ths.int5","ths.pss5","ths.com5","ths.attcheck","ths.int6","ths.pss6","ths.com6","ths.int7","ths.pss7","ths.com7","ths.int8","ths.pss8","ths.com8","ths.int9","ths.pss9","ths.com9","ths.int10","ths.com10","hate_item","voodoo1","voodoo2","voodoo3","voodoo4","voodoo5","voodoo6","voodoo7","voodoo8","voodoo9","voodoo10","voodoo1 - 0&1","voodoo2 - 0&1","voodoo3 - 0&1","voodoo4 - 0&1","voodoo5 - 0&1","voodoo6 - 0&1","voodoo7 - 0&1","voodoo8 - 0&1","voodoo9 - 0&1","voodoo10 - 0&1","tangram.check","tangram.videocheck","tangram.easy.1","tangram.easy.2","tangram.easy.3","tangram.easy.4","tangram.easy.5","tangram.easy.6","tangram.easy.7","tangram.easy.8","tangram.easy.9","tangram.easy.10","tanrgam.medium.1","tanrgam.medium.2","tanrgam.medium.3","tanrgam.medium.4","tanrgam.medium.5","tanrgam.medium.6","tanrgam.medium.7","tanrgam.medium.8","tanrgam.medium.9","tanrgam.medium.10","tanrgam.hard.1","tanrgam.hard.2","tanrgam.hard.3","tanrgam.hard.4","tanrgam.hard.5","tanrgam.hard.6","tanrgam.hard.7","tanrgam.hard.8","tanrgam.hard.9","tanrgam.hard.10","tangram.easy.1 - 0&1","tangram.easy.2 - 0&1","tangram.easy.3 - 0&1","tangram.easy.4 - 0&1","tangram.easy.5 - 0&1","tangram.easy.6 - 0&1","tangram.easy.7 - 0&1","tangram.easy.8 - 0&1","tangram.easy.9 - 0&1","tangram.easy.10 - 0&1","tanrgam.medium.1 - 0&1","tanrgam.medium.2 - 0&1","tanrgam.medium.3 - 0&1","tanrgam.medium.4 - 0&1","tanrgam.medium.5 - 0&1","tanrgam.medium.6 - 0&1","tanrgam.medium.7 - 0&1","tanrgam.medium.8 - 0&1","tanrgam.medium.9 - 0&1","tanrgam.medium.10 - 0&1","tanrgam.hard.1 - 0&1","tanrgam.hard.2 - 0&1","tanrgam.hard.3 - 0&1","tanrgam.hard.4 - 0&1","tanrgam.hard.5 - 0&1","tanrgam.hard.6 - 0&1","tanrgam.hard.7 - 0&1","tanrgam.hard.8 - 0&1","tanrgam.hard.9 - 0&1","tanrgam.hard.10 - 0&1","rcheck.realistic1","rcheck.realistic2","rcheck.control1","rcheck.control2","sex","age","education","ocupation","religiosity","political.orientation","political.orientation.prog","political.orientation.econ","political.orientation.soc","political.orientation.safe","truthfulness"
149,"symbolic",1,1,2,5,29,29,29,26,29,29,26,29,24,26,29,25,29,2,2,2,4,2,2,4,2,1,4,2,3,2,2,2,2,3,3,2,2,5,2,2,2,2,2,4,2,1,2,2,6,2,5,2,4,5,2,6,2,3,2,2,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,50.0,4,1,-0.15,-0.73,-0.98,-0.95,-1.0,-0.6,5
150,"control",,,2,2,24,24,24,30,24,24,24,27,24,24,24,24,27,1,1,1,6,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,2,24.0,4,1,0.2,-0.15,-0.7,-0.4,-0.7,-0.6,5
151,"symbolic",1,1,3,3,24,27,27,29,29,25,27,25,24,29,25,26,25,1,5,5,2,2,3,5,3,1,2,3,4,3,5,3,2,5,2,2,2,3,4,3,5,5,4,2,3,1,6,2,3,4,3,5,3,1,2,6,2,2,2,2,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,1,,,,,1,,,,1,,,1,1,1,,1,1,,,,1,,,,,1,1,,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,,,,,1,20.0,3,10,-1.0,-0.34,-0.36,-0.43,-0.5,-0.33,5
152,"control",,,1,1,24,24,24,26,24,24,24,26,24,24,24,24,26,1,1,1,4,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,1,,1,1,1,1,,,1,1,,,1,,1,,,1,,,1,,,,,,,,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,,1,1,2,21.0,3,10,1.0,0.0,0.0,0.0,0.0,0.0,5
153,"symbolic",1,1,3,1,24,24,29,27,24,24,29,27,24,24,24,24,26,1,1,2,5,1,1,2,5,1,1,1,1,4,1,1,1,1,1,1,2,2,2,2,2,4,1,2,2,1,1,1,4,2,1,1,2,2,1,4,1,1,1,1,1,66.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,46.0,3,7,0.38,0.0,0.0,0.6,-0.5,-0.82,5
154,"symbolic",1,1,1,1,24,24,24,27,24,24,24,27,24,24,24,24,27,1,1,1,5,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,25.0,2,1,-0.61,-0.74,-0.6,-0.62,-0.72,-0.73,5
155,"symbolic",1,1,1,1,24,24,29,27,24,24,24,26,24,24,24,24,27,1,1,2,5,1,1,1,4,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,1,25.0,4,11,-1.0,-1.0,-1.0,-0.98,-1.0,-1.0,5
156,"realistic",,,4,3,24,24,24,24,24,24,24,26,24,24,24,24,26,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1,1,1,4,4,1,4,4,1,1,1,1,1,1,4,4,4,4,4,4,1,4,1,1,1,1,1,1,212.0,77.0,175.0,122.0,109.0,203.0,81.0,,,,1,1,1,1,1,1,1,0,0,0,1,1,1,1,,,1,1,,,1,,,1,,,1,,,1,,1,1,,,,,,,,,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,,,1,56.0,4,1,0.1,-0.05,-0.07,0.26,-0.06,-0.04,5
157,"control",,,1,1,24,24,24,28,24,24,24,28,24,24,24,24,28,1,1,1,7,1,1,1,7,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,1,1,2,22.0,3,10,-0.8,-1.0,-1.0,-0.63,-1.0,-1.0,5
158,"control",,,2,2,30,29,29,26,29,29,29,26,24,29,29,29,26,6,2,2,4,2,2,2,4,1,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,1,,,,1,,1,,1,1,,,,1,,,1,1,,,,1,1,,,1,,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,,,1,1,2,22.0,3,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5
159,"realistic",,,7,7,24,27,28,24,24,26,26,24,24,26,28,26,24,1,5,7,1,1,4,4,1,1,4,7,4,1,4,4,7,7,1,4,5,5,4,4,4,6,7,1,7,1,4,4,4,7,1,4,6,1,1,7,1,7,4,4,6,147.0,159.0,113.0,123.0,143.0,138.0,155.0,138.0,163.0,144.0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,2,41.0,3,1,-1.0,0.0,0.0,0.0,0.0,0.0,5
160,"realistic",,,2,1,24,24,24,27,24,24,24,26,24,24,24,24,27,1,1,1,5,1,1,1,4,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,2,27.0,4,1,0.69,-0.53,-0.57,-0.11,-0.55,-1.0,5
161,"realistic",,,1,1,24,24,24,30,24,24,24,26,24,24,24,24,27,1,1,1,6,1,1,1,4,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,2,29.0,4,1,-0.57,-1.0,-1.0,-1.0,-1.0,-1.0,5
162,"symbolic",1,1,2,2,29,29,29,27,24,29,29,26,24,29,29,29,27,2,2,2,5,1,2,2,4,1,2,2,2,5,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,4,2,2,2,2,2,2,2,2,2,2,3,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,1,1,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,45.0,4,1,-0.45,0.0,0.0,0.0,-0.25,-0.25,5
163,"control",,,1,1,24,24,24,30,24,24,24,30,24,24,24,24,27,1,1,1,6,1,1,1,6,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,2,22.0,3,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5
164,"control",,,1,1,24,24,26,25,24,24,24,26,24,24,29,24,26,1,1,4,3,1,1,1,4,1,1,2,1,4,1,1,1,2,1,1,2,1,1,2,1,1,5,1,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,1,1,1,,,,1,1,,1,1,1,,1,,,,1,,,,1,,,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,,,1,1,1,40.0,4,1,-1.0,-0.1,-0.08,0.02,-0.09,-0.62,5
165,"control",,,1,1,24,24,24,30,24,24,24,27,24,24,24,24,30,1,1,1,6,1,1,1,5,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,143.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,,,1,1,1,1,1,1,,1,1,,,1,,,,1,,,,,,,,,1,,,,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,1,1,2,28.0,3,1,-1.0,-0.91,-0.87,-0.85,-0.95,-0.91,5
166,"control",,,2,2,24,24,24,27,24,24,24,26,24,24,24,24,27,1,1,1,5,1,1,1,4,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,4,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,47.0,3,1,-1.0,0.49,0.26,0.25,-0.18,0.34,5
167,"symbolic",1,1,6,5,29,29,30,25,29,30,27,25,28,25,26,30,25,2,2,6,3,2,6,5,3,7,3,4,6,3,6,4,5,4,3,4,5,4,4,5,3,2,5,3,4,1,6,4,6,6,3,4,6,5,3,6,5,4,6,4,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,1,,,,,1,,1,1,,,1,1,1,1,,,,,,,1,1,,,1,,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,,,,,1,57.0,3,2,0.66,0.55,0.79,1.0,0.56,0.61,5
168,"realistic",,,5,4,29,27,25,26,29,25,25,25,24,26,25,26,25,2,5,3,4,2,3,3,3,1,4,3,4,3,4,5,6,3,6,5,5,4,4,4,5,3,3,2,3,1,5,5,5,5,6,5,5,5,4,5,4,5,4,5,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,1,1,1,,,1,,1,1,,,1,,,,,,,,,,,,,,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,2,29.0,4,1,0.37,-0.77,-0.78,-0.74,-0.76,-0.77,5
169,"control",,,1,3,24,24,24,28,24,24,24,26,24,24,24,24,30,1,1,1,7,1,1,1,4,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,228.0,55.0,203.0,90.0,70.0,217.0,,,,,1,1,1,1,1,1,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,22.0,3,10,-0.97,-0.86,-1.0,-1.0,-1.0,-1.0,5
170,"realistic",,,1,1,24,29,26,26,24,24,29,26,24,24,29,29,26,1,2,4,4,1,1,2,4,1,1,2,2,4,2,1,2,4,1,2,2,2,2,4,2,2,4,5,5,1,1,1,1,4,2,1,2,1,1,2,1,2,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,1,1,,,1,,1,,,1,,,1,,,1,1,,,,,,,1,,,,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,,,1,19.0,4,1,-0.44,0.0,-0.03,0.01,-0.05,0.02,5
171,"realistic",,,6,5,27,30,27,27,25,26,27,25,24,26,27,27,25,5,6,5,5,3,4,5,3,1,4,5,5,3,5,5,6,3,6,5,5,4,5,3,5,3,3,2,3,1,6,5,4,5,6,5,4,5,3,5,3,5,4,5,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,,1,,,,1,,1,,1,,,1,,,,1,,,,,1,,,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,,,2,29.0,4,11,0.51,-0.79,-0.78,-0.77,-0.7,-0.79,5
172,"realistic",,,2,1,24,24,24,26,24,24,24,26,24,24,29,24,26,1,1,1,4,1,1,1,4,1,1,2,1,4,1,1,2,4,2,2,4,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,4,1,1,2,2,4,1,4,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,,,1,,,1,,,,1,1,,,,1,,1,,1,,1,,,,1,,,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,,,1,45.0,4,1,0.8,0.9,0.9,0.9,0.9,0.0,5
173,"realistic",,,1,1,24,24,24,30,24,24,24,30,24,24,24,24,30,1,1,1,6,1,1,1,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,221.0,206.0,228.0,236.0,248.0,206.0,194.0,185.0,,,1,1,1,1,1,1,1,1,0,0,1,1,,,,1,1,,,,1,1,,1,,1,,,,1,1,,1,,1,,,,,,1,,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,,,1,31.0,4,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5
174,"symbolic",1,1,1,1,24,24,24,26,24,24,24,26,24,24,24,24,29,1,1,1,4,1,1,1,4,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,5,1,1,1,2,1,3,2,2,2,2,2,2,5,2,2,2,3,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,1,,1,,,1,,1,1,1,,1,,1,,,1,,,,,,,1,,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,,,,,2,27.0,3,4,-1.0,-0.6,-0.65,-0.52,-0.95,-0.18,5
175,"control",,,3,1,24,24,24,27,24,24,24,27,24,24,24,24,27,1,1,1,5,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,245.0,26.0,18.0,33.0,,,,,,,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,1,1,,,,,1,,1,,,,1,,,,,,,,,,,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,1,1,2,39.0,4,1,0.91,-0.9,-0.74,-0.78,-0.38,-0.34,5
176,"realistic",,,4,2,29,24,24,27,29,29,24,26,24,29,24,24,27,2,1,1,5,2,2,1,4,1,2,1,1,5,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,1,1,1,,,,1,1,1,1,1,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,,1,45.0,4,10,0.64,0.29,0.26,0.16,0.43,0.12,5
177,"control",,,1,1,24,24,24,26,24,24,24,26,24,24,24,24,27,1,1,1,4,1,1,1,4,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,1,1,1,1,1,1,,,,1,1,,,,1,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,1,1,2,54.0,3,1,-0.78,-0.38,-0.7,-0.47,-0.6,-0.5,5
178,"symbolic",1,1,1,1,24,29,26,26,24,24,26,26,24,24,24,26,26,1,2,4,4,1,1,4,4,1,1,1,4,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,4,2,1,1,4,1,1,4,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,55.0,3,7,-0.01,-1.0,-1.0,-1.0,-1.0,-1.0,5
179,"realistic",,,4,2,25,26,27,25,24,25,29,26,24,29,25,25,25,3,4,5,3,1,3,2,4,1,2,3,3,3,2,1,4,3,2,2,4,4,3,5,3,2,7,2,3,1,3,1,6,6,3,1,5,2,2,4,3,4,4,6,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,,,1,,,,1,1,,1,1,,1,,1,,1,,,,,,1,,,,,1,,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,,,1,29.0,4,4,0.2,0.15,0.15,0.4,0.2,0.05,5
180,"control",,,2,2,24,24,24,28,24,24,24,30,24,24,24,24,30,1,1,1,7,1,1,1,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,,1,,1,1,,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,2,28.0,3,1,-1.0,-0.67,-0.61,-0.45,-0.74,-0.48,5
181,"symbolic",1,1,3,3,29,24,29,25,29,24,29,25,24,24,29,24,25,2,1,2,3,2,1,2,3,1,1,2,1,3,2,1,1,2,2,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,5,1,1,5,1,1,1,1,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,4,,,,,,,,1,,,,1,1,1,,1,1,1,,,,1,,,,1,1,,1,,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,,,,,2,22.0,3,10,0.59,-0.64,-0.89,-0.93,-0.93,-1.0,5
182,"realistic",,,3,2,29,26,26,26,29,29,26,26,24,29,26,26,26,2,4,4,4,2,2,4,4,1,2,4,4,4,4,2,4,2,2,2,2,3,4,4,3,2,4,2,3,1,2,2,4,4,2,2,2,2,2,4,2,2,2,4,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,31.0,3,2,0.64,0.0,0.0,0.0,0.0,0.0,5
183,"realistic",,,5,5,29,29,29,29,29,29,25,25,24,29,30,29,26,2,2,2,2,2,2,3,3,1,2,6,2,4,2,2,4,4,3,3,4,4,3,3,3,3,5,1,3,1,4,3,4,4,2,2,4,2,2,4,2,2,2,2,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,45.0,3,1,0.31,-0.06,0.14,-0.2,0.06,0.64,5
184,"realistic",,,1,1,24,24,24,28,24,24,24,28,24,24,24,24,26,1,1,1,7,1,1,1,7,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,,,1,,1,1,,1,,,1,1,,1,,,1,,1,,,,,,,,,,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,,1,25.0,3,7,-0.61,-1.0,-1.0,-1.0,-1.0,-1.0,5
185,"control",,,1,1,24,24,26,26,24,24,24,26,24,24,24,24,26,1,1,4,4,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,2,68.0,5,7,-1.0,0.01,-1.0,-1.0,-1.0,-1.0,5
186,"realistic",,,4,1,24,24,24,28,24,24,24,30,24,24,24,24,28,1,1,1,7,1,1,1,6,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,,,2,35.0,3,1,0.69,1.0,1.0,1.0,1.0,1.0,5
187,"control",,,2,1,24,24,24,30,24,24,24,26,24,24,24,24,30,1,1,1,6,1,1,1,4,1,1,1,1,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,171.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,,,1,,1,,,1,,,,1,,1,,1,,,1,1,,,,1,,,,1,1,,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,,,1,1,1,33.0,4,1,-1.0,-0.2,-0.39,0.1,-0.41,0.05,5
188,"control",,,2,2,24,24,24,30,24,24,24,26,24,24,24,24,27,1,1,1,6,1,1,1,4,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,1,1,2,20.0,3,10,0.9,0.9,0.9,1.0,0.6,0.81,5
