"id","condition","topic.symbolic","mcheck1","mcheck2","Q23_1","anger1","Q23_2","Q23_3","Q23_4","Q23_5","Q23_6","Q23_7","Q23_8","Q23_9","Q23_10","Q23_11","Q23_12","Q23_13","contempt1","disgust1","anger4","anger2","contempt2","disgust2","contempt4","attention.check","anger3","contempt3","disgust3","disgust4","voodoo1","voodoo2","voodoo3","voodoo4","voodoo5","voodoo6","voodoo7","voodoo8","voodoo9","voodoo10","voodoo1 - 0 & 1","voodoo2 - 0 & 1","voodoo3 - 0 & 1","voodoo4 - 0 & 1","voodoo5 - 0 & 1","voodoo6 - 0 & 1","voodoo7 - 0 & 1","voodoo8 - 0 & 1","voodoo9 - 0 & 1","voodoo10 - 0 & 1","tangram.check","tangram.videocheck","tangram.easy.1 (3)","tangram.easy.2","tangram.easy.3","tangram.easy.4","tangram.easy.5","tangram.easy.6","tangram.easy.7","tangram.easy.8","tangram.easy.9","tangram.easy.10","tanrgam.medium.1","tanrgam.medium.2","tanrgam.medium.3","tanrgam.medium.4","tanrgam.medium.5","tanrgam.medium.6","tanrgam.medium.7","tanrgam.medium.8","tanrgam.medium.9","tanrgam.medium.10","tanrgam.hard.1","tanrgam.hard.2","tanrgam.hard.3","tanrgam.hard.4","tanrgam.hard.5","tanrgam.hard.6","tanrgam.hard.7","tanrgam.hard.8","tanrgam.hard.9","tanrgam.hard.10","tangram.easy.1 (3) - 0 & 1","tangram.easy.2 - 0 & 1","tangram.easy.3 - 0 & 1","tangram.easy.4 - 0 & 1","tangram.easy.5 - 0 & 1","tangram.easy.6 - 0 & 1","tangram.easy.7 - 0 & 1","tangram.easy.8 - 0 & 1","tangram.easy.9 - 0 & 1","tangram.easy.10 - 0 & 1","tanrgam.medium.1 - 0 & 1","tanrgam.medium.2 - 0 & 1","tanrgam.medium.3 - 0 & 1","tanrgam.medium.4 - 0 & 1","tanrgam.medium.5 - 0 & 1","tanrgam.medium.6 - 0 & 1","tanrgam.medium.7 - 0 & 1","tanrgam.medium.8 - 0 & 1","tanrgam.medium.9 - 0 & 1","tanrgam.medium.10 - 0 & 1","tanrgam.hard.1 - 0 & 1","tanrgam.hard.2 - 0 & 1","tanrgam.hard.3 - 0 & 1","tanrgam.hard.4 - 0 & 1","tanrgam.hard.5 - 0 & 1","tanrgam.hard.6 - 0 & 1","tanrgam.hard.7 - 0 & 1","tanrgam.hard.8 - 0 & 1","tanrgam.hard.9 - 0 & 1","tanrgam.hard.10 - 0 & 1","topic.realistic","topic.control","sex","age","education","ocupation","religiosity","political.orientation","political.orientation.prog","political.orientation.econ","political.orientation.soc","political.orientation.safe","truthfulness"
247,"control",,2,2,24,1,24,24,26,24,24,24,26,24,24,24,24,26,1,1,4,1,1,1,4,1,1,1,1,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,1,,,1,,,1,,1,,1,,1,,,1,,,,,,1,,1,,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,,1,2,41.0,3,2,0.5,0.1,0.1,0.1,0.1,0.1,5
248,"realistic",,3,3,24,1,24,26,26,24,24,24,27,24,24,24,24,26,1,4,4,1,1,1,5,1,1,1,1,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,1,,1,,1,,,,,1,,1,,,,,,,,,,,,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,1,33.0,3,1,-0.33,-0.39,-0.58,-0.39,-0.27,-0.18,5
249,"symbolic",1,6,6,25,3,27,25,27,27,27,27,27,24,27,29,27,27,5,3,5,5,5,5,5,1,5,2,5,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,1,,,,1,,1,1,,,,,1,,,,,,,,1,1,,,1,,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,,,1,50.0,5,1,0.92,0.86,0.94,0.58,0.76,0.68,5
250,"control",,6,6,27,5,27,25,27,27,27,25,27,24,27,29,27,27,5,3,5,5,5,3,5,1,5,2,5,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,1,,1,,,,1,1,1,,1,1,,,,,,1,,,,,,,,,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,1,50.0,5,1,1.0,1.0,0.94,0.9,0.55,0.79,5
251,"symbolic",3,5,7,27,5,27,26,27,27,26,30,27,24,27,26,27,30,5,4,5,5,4,6,5,1,5,4,5,6,132.0,162.0,110.0,166.0,145.0,64.0,259.0,87.0,188.0,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,,1,1,1,1,1,,1,,,,,1,,,,,,,,,,,,1,,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,1,46.0,5,1,0.52,0.53,0.58,0.64,0.28,-0.69,5
252,"control",,1,1,24,1,24,24,24,24,24,24,24,24,24,24,24,30,1,1,1,1,1,1,1,1,1,1,1,6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,,2,2,62.0,4,7,-0.41,0.75,0.33,0.92,0.68,-0.16,5
253,"symbolic",3,7,7,25,3,30,30,29,26,30,30,24,24,26,30,30,24,6,6,2,4,6,6,1,1,4,6,6,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,1,,,,,1,,,,,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,,,2,30.0,5,11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5
254,"realistic",,3,3,25,3,29,26,25,29,29,29,27,24,25,26,25,25,2,4,3,2,2,2,5,1,3,4,3,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,,,1,1,,,,,1,1,1,,1,,,,,,,,,1,,,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,,1,19.0,3,10,0.38,-0.16,-0.12,-0.07,-0.22,0.1,6
255,"symbolic",1,7,7,25,3,27,27,24,24,30,30,24,24,29,30,30,24,5,5,1,1,6,6,1,1,2,6,6,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,1,1,1,1,1,,,,,,1,1,1,1,1,1,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,,,2,40.0,3,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5
256,"realistic",,6,6,29,2,29,29,25,26,29,29,26,24,29,26,29,29,2,2,3,4,2,2,4,1,2,4,2,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,2,33.0,4,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5
