"id","condition","topic.symbolic","mcheck1","mcheck2","Q23_1","anger1","Q23_2","Q23_3","Q23_4","Q23_5","Q23_6","Q23_7","Q23_8","Q23_9","Q23_10","Q23_11","Q23_12","Q23_13","contempt1","disgust1","anger4","anger2","contempt2","disgust2","contempt4","attention.check","anger3","contempt3","disgust3","disgust4","voodoo1","voodoo2","voodoo3","voodoo4","voodoo5","voodoo6","voodoo7","voodoo8","voodoo9","voodoo10","voodoo1 - 0 & 1","voodoo2 - 0 & 1","voodoo3 - 0 & 1","voodoo4 - 0 & 1","voodoo5 - 0 & 1","voodoo6 - 0 & 1","voodoo7 - 0 & 1","voodoo8 - 0 & 1","voodoo9 - 0 & 1","voodoo10 - 0 & 1","tangram.check","tangram.videocheck","tangram.easy.1 (3)","tangram.easy.2","tangram.easy.3","tangram.easy.4","tangram.easy.5","tangram.easy.6","tangram.easy.7","tangram.easy.8","tangram.easy.9","tangram.easy.10","tanrgam.medium.1","tanrgam.medium.2","tanrgam.medium.3","tanrgam.medium.4","tanrgam.medium.5","tanrgam.medium.6","tanrgam.medium.7","tanrgam.medium.8","tanrgam.medium.9","tanrgam.medium.10","tanrgam.hard.1","tanrgam.hard.2","tanrgam.hard.3","tanrgam.hard.4","tanrgam.hard.5","tanrgam.hard.6","tanrgam.hard.7","tanrgam.hard.8","tanrgam.hard.9","tanrgam.hard.10","tangram.easy.1 (3) - 0 & 1","tangram.easy.2 - 0 & 1","tangram.easy.3 - 0 & 1","tangram.easy.4 - 0 & 1","tangram.easy.5 - 0 & 1","tangram.easy.6 - 0 & 1","tangram.easy.7 - 0 & 1","tangram.easy.8 - 0 & 1","tangram.easy.9 - 0 & 1","tangram.easy.10 - 0 & 1","tanrgam.medium.1 - 0 & 1","tanrgam.medium.2 - 0 & 1","tanrgam.medium.3 - 0 & 1","tanrgam.medium.4 - 0 & 1","tanrgam.medium.5 - 0 & 1","tanrgam.medium.6 - 0 & 1","tanrgam.medium.7 - 0 & 1","tanrgam.medium.8 - 0 & 1","tanrgam.medium.9 - 0 & 1","tanrgam.medium.10 - 0 & 1","tanrgam.hard.1 - 0 & 1","tanrgam.hard.2 - 0 & 1","tanrgam.hard.3 - 0 & 1","tanrgam.hard.4 - 0 & 1","tanrgam.hard.5 - 0 & 1","tanrgam.hard.6 - 0 & 1","tanrgam.hard.7 - 0 & 1","tanrgam.hard.8 - 0 & 1","tanrgam.hard.9 - 0 & 1","tanrgam.hard.10 - 0 & 1","topic.realistic","topic.control","sex","age","education","ocupation","religiosity","political.orientation","political.orientation.prog","political.orientation.econ","political.orientation.soc","political.orientation.safe","truthfulness"
267,"symbolic",1,4,5,29,2,26,26,25,29,26,26,25,24,29,26,26,25,4,4,3,2,4,4,3,1,2,4,4,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1,20.0,3,10,-0.58,-1.0,-1.0,-1.0,-1.0,-0.86,5
268,"control",,1,1,24,1,24,24,30,24,24,24,30,24,24,24,24,30,1,1,6,1,1,1,6,1,1,1,1,6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,25.0,4,2,0.68,-0.43,-0.47,0.53,-0.44,0.69,5
269,"control",,1,1,24,1,24,24,30,24,24,24,30,29,24,24,24,27,1,1,6,1,1,1,6,2,1,1,1,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,26.0,4,2,-1.0,-0.58,-1.0,-0.73,-0.66,-1.0,5
270,"realistic",,6,3,29,2,29,27,25,24,25,26,29,24,29,27,24,25,2,5,3,1,3,4,2,1,2,5,1,3,204.0,208.0,209.0,,,,,,,,1,1,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,1,,1,,,1,,1,1,,1,,,1,1,1,1,,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,3,,2,34.0,4,4,-0.8,-0.75,-0.5,0.75,-0.6,-0.85,5
271,"realistic",,1,1,24,1,24,29,30,24,29,29,30,24,29,29,24,27,1,2,6,1,2,2,6,1,2,2,1,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,1,,1,,,1,1,,,1,,1,,,,1,,1,1,,,,,,1,,1,,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,3,,2,35.0,4,1,0.46,-0.52,-1.0,-0.83,-0.87,-0.98,5
272,"symbolic",3,6,7,29,2,26,27,29,24,26,28,24,24,24,27,27,24,4,5,2,1,4,7,1,1,1,5,5,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,1,1,1,,,,,1,1,1,,,,,1,,,,,1,,1,1,1,,,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,,,2,48.0,4,2,0.48,-0.6,-1.0,-0.75,-1.0,-1.0,5
273,"realistic",,3,2,25,3,29,25,26,29,29,26,26,24,29,26,26,29,2,3,4,2,2,4,4,1,2,4,4,2,74.0,203.0,179.0,,,,,,,,1,1,1,0,0,0,0,0,0,0,1,1,,,,1,,,1,1,,,,,1,1,,,1,,1,1,,1,,,1,,,,1,,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,2,,2,21.0,3,10,1.0,0.23,0.12,0.0,0.03,0.0,5
274,"symbolic",1,6,7,27,5,29,24,29,26,30,28,24,24,25,28,30,27,2,1,2,4,6,7,1,1,3,7,6,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,1,1,,,1,,,1,,1,1,,,1,,,1,,,,,,,,,,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,2,30.0,5,7,1.0,1.0,-0.37,0.84,0.67,0.73,5
275,"symbolic",3,7,7,25,3,27,27,25,29,27,27,29,24,29,25,27,25,5,5,3,2,5,5,2,1,2,3,5,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,1,1,1,,1,,1,,1,1,,,,1,,1,,1,1,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,,,2,23.0,4,10,0.84,-0.71,-0.83,-0.46,-0.84,-0.95,5
276,"symbolic",2,3,7,29,2,29,29,27,29,29,30,26,24,27,27,29,27,2,2,5,2,2,6,4,1,5,5,2,5,207.0,75.0,171.0,,,,,,,,1,1,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,1,1,,,,,,,,1,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,,,2,51.0,4,4,0.84,0.75,0.66,0.65,-0.38,0.01,5
277,"symbolic",3,7,7,28,7,28,28,24,28,28,28,24,24,28,28,28,24,7,7,1,7,7,7,1,1,7,7,7,1,173.0,143.0,84.0,195.0,51.0,229.0,114.0,175.0,113.0,142.0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,2,18.0,3,1,0.47,-1.0,-1.0,-1.0,-1.0,-1.0,5
278,"control",,2,2,29,2,25,25,26,29,29,29,30,24,29,29,29,30,3,3,4,2,2,2,6,1,2,2,2,6,120.0,175.0,143.0,56.0,234.0,121.0,170.0,133.0,156.0,144.0,1,1,1,1,1,1,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,1,35.0,5,1,0.0,0.0,0.0,0.92,0.71,0.77,5
279,"realistic",,7,3,25,3,25,30,25,29,26,26,25,24,29,27,25,29,3,6,3,2,4,4,3,1,2,5,3,2,220.0,65.0,175.0,178.0,106.0,,,,,,1,1,1,1,1,0,0,0,0,0,1,1,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,,2,52.0,5,2,-1.0,-0.59,-0.42,-0.43,-0.52,-0.39,5
280,"control",,1,1,24,1,24,24,30,24,24,24,30,24,24,24,24,30,1,1,6,1,1,1,6,1,1,1,1,6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,3,2,45.0,4,2,-1.0,-0.91,-0.96,-0.62,-0.85,-0.62,5
281,"realistic",,2,1,24,1,29,26,26,24,24,26,26,24,24,24,24,26,2,4,4,1,1,4,4,1,1,1,1,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,1,,,,1,,1,1,1,1,,,1,1,,1,,,,,,1,,,1,,,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,,1,32.0,4,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5
282,"symbolic",1,4,5,27,5,28,30,29,26,30,30,24,24,27,30,28,24,7,6,2,4,6,6,1,1,5,6,7,1,135.0,142.0,142.0,145.0,144.0,143.0,129.0,153.0,156.0,155.0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,1,25.0,4,11,-1.0,-0.89,-1.0,-0.87,-1.0,-1.0,5
283,"control",,1,1,24,1,24,24,30,24,24,24,30,24,24,24,24,30,1,1,6,1,1,1,6,1,1,1,1,6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,1,20.0,3,10,-0.64,0.2,-0.2,0.4,-0.59,0.69,5
284,"control",,1,1,24,1,24,24,30,24,29,24,28,24,24,24,24,28,1,1,6,1,2,1,7,1,1,1,1,7,154.0,138.0,109.0,230.0,50.0,186.0,93.0,177.0,102.0,144.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,24.0,3,4,-0.96,-0.23,-0.18,0.53,-1.0,-1.0,5
285,"control",,1,1,24,1,24,24,30,24,24,24,28,24,24,24,24,27,1,1,6,1,1,1,7,1,1,1,1,5,179.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,1,48.0,3,7,0.43,0.13,0.1,0.14,-0.12,-1.0,5
286,"control",,1,1,24,1,24,24,28,24,24,24,28,24,24,24,24,30,1,1,7,1,1,1,7,1,1,1,1,6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,1,,1,,1,,,,,,1,1,,1,1,,,,,,1,1,1,1,,,,,,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,1,2,29.0,4,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5
287,"symbolic",2,5,3,24,1,24,26,29,24,24,24,26,24,24,29,24,24,1,4,2,1,1,1,4,1,1,2,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,1,,1,,,1,,,,1,,1,,,1,1,1,1,,,,,,,1,1,,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,,,2,28.0,3,2,0.98,-0.87,-0.84,-0.9,-0.67,-0.78,5
288,"control",,1,1,24,1,24,24,27,24,24,24,30,24,26,29,29,25,1,1,5,1,1,1,6,1,4,2,2,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,30.0,4,1,0.9,1.0,0.88,0.79,1.0,0.8,5
289,"realistic",,5,1,24,1,24,24,26,24,24,29,26,24,24,24,24,26,1,1,4,1,1,2,4,1,1,1,1,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,1,1,1,1,1,1,,1,,,,,,1,,,1,1,1,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,,2,53.0,4,7,-1.0,-0.41,-1.0,-0.52,0.2,-0.35,5
290,"realistic",,1,4,24,1,24,24,30,24,24,26,26,24,24,24,24,24,1,1,6,1,1,4,4,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,30.0,3,4,1.0,0.0,0.0,0.0,0.0,0.0,5
291,"symbolic",2,5,6,24,1,29,27,25,24,29,29,25,24,29,29,24,29,2,5,3,1,2,2,3,1,2,2,1,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,1,1,1,,1,,1,1,,1,,,,1,,,,,,,,1,,,,,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,,3,19.0,3,2,-1.0,-0.7,-1.0,-0.9,-0.55,-0.7,5
292,"symbolic",1,6,6,29,2,26,27,29,29,27,27,29,24,29,27,27,25,4,5,2,2,5,5,2,1,2,5,5,3,166.0,147.0,170.0,133.0,127.0,,,,,,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,33.0,5,1,0.3,-0.2,-0.56,0.28,-0.71,-1.0,5
293,"realistic",,6,1,27,5,29,27,24,24,27,29,26,24,24,26,25,27,2,5,1,1,5,2,4,1,1,4,3,5,146.0,168.0,109.0,144.0,143.0,126.0,163.0,173.0,115.0,109.0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,,,1,1,,,,1,1,1,1,1,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,3,,2,47.0,4,7,0.68,0.47,0.22,1.0,0.86,-0.44,5
294,"symbolic",3,1,6,24,1,29,28,24,24,30,28,24,24,29,28,27,24,2,7,1,1,6,7,1,1,2,7,5,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,2,52.0,4,2,0.4,-0.8,-0.8,-0.8,-0.8,-0.8,5
295,"symbolic",1,4,2,24,1,29,29,29,29,29,26,26,24,24,27,29,27,2,2,2,2,2,4,4,1,1,5,2,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,2,46.0,3,7,-1.0,0.0,0.5,0.0,-0.25,0.1,5
296,"control",,1,1,24,1,24,24,28,24,24,24,30,24,24,24,24,27,1,1,7,1,1,1,6,1,1,1,1,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,1,,1,,1,,1,,1,,,,1,,1,,1,,,,,,,,,,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,,3,2,18.0,3,7,1.0,-1.0,-1.0,1.0,-1.0,-1.0,5
297,"symbolic",3,3,7,27,5,27,26,24,24,25,27,24,24,29,29,26,29,5,4,1,1,3,5,1,1,2,2,4,2,232.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,,,,1,,,,,,,,1,1,,1,,1,,,1,1,,,1,,1,1,1,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,,,2,38.0,5,4,-0.26,-0.9,-1.0,0.53,-0.65,-0.81,5
298,"realistic",,6,1,24,1,24,24,30,24,24,24,30,24,24,24,24,30,1,1,6,1,1,1,6,1,1,1,1,6,273.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,69.0,3,2,1.0,0.88,0.92,1.0,1.0,0.5,5
299,"symbolic",3,2,7,26,4,26,27,29,24,25,26,29,24,24,27,26,24,4,5,2,1,3,4,2,1,1,5,4,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,1,1,1,1,1,1,,,,,1,1,1,1,1,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,,,2,43.0,4,2,-0.99,-0.8,-0.75,-0.58,-0.88,-0.66,5
300,"symbolic",3,7,7,26,4,28,28,24,26,28,28,24,24,29,28,28,24,7,7,1,4,7,7,1,1,2,7,7,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,,1,27.0,3,4,0.0,-0.91,-0.92,-1.0,-1.0,-1.0,5
301,"realistic",,5,2,29,2,29,25,27,24,29,26,25,24,29,25,29,29,2,3,5,1,2,4,3,1,2,3,2,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,1,33.0,3,1,-0.44,0.14,0.12,0.5,-0.13,0.57,5
302,"symbolic",1,3,2,29,2,29,25,26,29,29,27,29,24,29,27,29,25,2,3,4,2,2,5,2,1,2,5,2,3,180.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,30.0,4,1,-0.92,-0.56,-0.56,-0.38,-0.73,-0.9,5
303,"symbolic",1,3,6,24,1,29,26,25,24,29,26,25,24,24,29,29,29,2,4,3,1,2,4,3,1,1,2,2,2,247.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,,,2,31.0,4,1,-1.0,-0.28,-0.08,-0.09,-0.14,-0.13,5
304,"realistic",,7,1,26,4,26,26,26,26,26,26,26,24,25,26,26,29,4,4,4,4,4,4,4,1,3,4,4,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,,1,20.0,3,10,-1.0,0.0,0.12,-0.23,-0.33,0.18,5
305,"realistic",,2,1,24,1,24,29,27,24,24,24,26,24,29,25,24,26,1,2,5,1,1,1,4,1,2,3,1,4,176.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,1,1,,,1,,,,1,,,1,1,,,,1,1,1,,1,,,,,,1,,,,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,,1,32.0,4,1,-1.0,-0.92,-1.0,-1.0,-1.0,-1.0,5
306,"symbolic",3,2,6,29,2,27,26,26,29,26,27,25,24,25,26,27,26,5,4,4,2,4,5,3,1,3,4,5,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,1,1,1,1,1,1,,,,,1,1,1,,,1,1,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,,,1,36.0,4,1,-0.78,-0.28,-0.33,-0.58,-0.5,0.0,5
307,"control",,2,1,24,1,24,24,26,24,24,24,27,24,24,24,29,26,1,1,4,1,1,1,5,1,1,1,2,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,23.0,3,1,-0.93,-1.0,-1.0,-1.0,-1.0,-1.0,5
308,"realistic",,1,1,24,1,26,27,26,24,24,29,26,24,24,29,24,29,4,5,4,1,1,2,4,1,1,2,1,2,112.0,120.0,134.0,152.0,161.0,171.0,176.0,183.0,118.0,170.0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,1,,,,1,,,,,,1,,1,,1,1,1,1,,,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,2,,1,42.0,5,7,0.07,-1.0,-1.0,-1.0,-1.0,-1.0,5
309,"realistic",,7,5,30,6,27,30,29,26,27,27,29,24,27,27,27,29,5,6,2,4,5,5,2,1,5,5,5,2,198.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,,1,,1,,1,,,1,1,,1,,,1,,,,1,1,,,,1,,,1,,,,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,,2,19.0,4,10,-0.73,-0.17,0.37,0.17,0.08,-0.11,5
310,"realistic",,1,1,29,2,29,25,30,29,29,29,30,24,24,29,29,30,2,3,6,2,2,2,6,1,1,2,2,6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,2,40.0,3,1,0.43,-0.04,-0.73,0.01,0.01,-0.01,5
311,"symbolic",3,4,5,24,1,26,26,26,24,26,30,24,24,24,26,26,24,4,4,4,1,4,6,1,1,1,4,4,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,1,1,,1,1,,,,1,,,1,,1,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,,,1,33.0,4,1,-1.0,0.0,-0.13,0.75,-0.24,0.0,5
312,"control",,1,1,24,1,24,24,30,24,24,24,27,24,24,24,24,26,1,1,6,1,1,1,5,1,1,1,1,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,46.0,3,1,0.35,-0.74,-0.49,-1.0,-0.3,-0.51,5
313,"symbolic",1,3,6,24,1,29,27,25,29,27,27,29,24,25,25,26,24,2,5,3,2,5,5,2,1,3,3,4,1,182.0,103.0,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,1,1,,1,,,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,,,2,26.0,5,1,-0.85,-1.0,-0.96,-0.2,-0.87,-1.0,5
314,"realistic",,2,2,24,1,24,24,27,24,24,24,27,24,24,29,24,30,1,1,5,1,1,1,5,1,1,2,1,6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,1,1,1,,,1,,1,1,,,1,1,,1,,,1,1,,,,,,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,,2,21.0,4,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5
315,"symbolic",3,7,6,24,1,30,27,29,24,27,29,29,24,29,29,29,29,6,5,2,1,5,2,2,1,2,2,2,2,148.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,1,,1,1,,1,,,1,,,1,,,1,1,,,,,,,,,,,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,2,48.0,4,2,-0.31,-0.58,-0.47,-0.25,-0.39,-0.19,5
316,"realistic",,1,1,24,1,24,24,28,24,24,24,28,24,24,24,24,28,1,1,7,1,1,1,7,1,1,1,1,7,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,32.0,5,1,0.46,0.94,0.94,1.0,0.92,1.0,5
317,"symbolic",1,7,7,27,5,28,28,24,25,30,28,24,24,27,28,28,24,7,7,1,3,6,7,1,1,5,7,7,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,,,2,30.0,4,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5
